Movie Name,Screenshot Links,Source Link,Download Links,Ratings,Trailer Link,Categories
"
            TRAP (2024) WEB-DL [English DD5.1] 4K 1080p 720p & 480p [x264/10Biit-HEVC] | Full Movie        ","['https://catimages.org/images/2024/09/01/vlcsnap-2024-08-31-22h30m13s013.th.jpg', 'https://catimages.org/images/2024/09/01/vlcsnap-2024-08-31-22h30m28s488.th.jpg', 'https://catimages.org/images/2024/09/01/vlcsnap-2024-08-31-22h30m56s918.th.jpg', 'https://catimages.org/images/2024/09/01/vlcsnap-2024-08-31-22h31m58s448.th.jpg', 'https://catimages.org/images/2024/09/01/vlcsnap-2024-08-31-22h34m08s248.th.jpg', 'https://catimages.org/images/2024/09/01/vlcsnap-2024-08-31-22h35m04s244.th.jpg', 'https://catimages.org/images/2024/09/01/vlcsnap-2024-08-31-22h35m38s419.th.jpg', 'https://catimages.org/images/2024/09/01/vlcsnap-2024-08-31-22h37m05s608.th.jpg']",https://hdhub4u.contact/trap-2024-english-webrip-full-movie/,"['https://hubcdn.vip/file/HepTXNOvdEqlxmkFPNkv8V3Tn', 'https://hdhub4u.contact/go/?id=V2duMFExY1RtcFRGRzY2bGxOWUFjTkNLcEgxNEQ1RnVOamdKOUNESi9MMkdNT1RFdy9qRG9RTHd1SUI2eVR1ajBod0J2ZFhjWDhPcEs2dWFJRk00ZnR0QU9vQ3FwL2ppeXFuK2xaNDdrNzA9', 'https://max.offerboom.top/?id=V2duMFExY1RtcFRGRzY2bGxOWUFjTkNLcEgxNEQ1RnVOamdKOUNESi9MMkdNT1RFdy9qRG9RTHd1SUI2eVR1alpCSkFtdTVlTFF0S3VBNERjcXdybG9jMEpqajBiWW9DS0NYelBZZjJPazg9']",6.4/10,https://www.youtube.com/embed/hJiPAJKjUVg, Thriller | Crime 
"
            Surya’s Saturday (2024) HDTS Hindi (LiNE) 1080p 720p & 480p [x264/HEVC] | Full Movie [Saripodhaa Sanivaaram]        ","['https://catimages.org/images/2024/08/31/vlcsnap-2024-08-30-23h57m42s447.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-30-23h58m14s503.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-30-23h59m18s136.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-30-23h59m57s063.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h00m03s892.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h00m34s223.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h03m35s973.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h05m03s057.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h05m43s451.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h04m20s321.jpg']",https://hdhub4u.contact/suryas-saturday-2024-hindi-hdts-full-movie/,"['https://hubcdn.vip/file/pmKzcLHzs2KBx3HMmgb1DCoqA', 'https://max.offerboom.top/?id=NVZuQk9PQ0E1K09JOG9rVlBiYXh3Y2RlbS9yZmNaMU9MN1VVSXBkU3V5Zm1kWEpoY1ExRS9yV1ZWY1hmRjNiWnhOSFZkMnlUN3diVmsyemlyeWt4T051M0k2QjVXdVJtQmNZM0luRzViM2s9', 'https://hubdrive.art/file/2664586973', 'https://hdhub4u.contact/go/?id=NVZuQk9PQ0E1K09JOG9rVlBiYXh3Y2RlbS9yZmNaMU9MN1VVSXBkU3V5Zm1kWEpoY1ExRS9yV1ZWY1hmRjNiWkxpWXlOT1lXTmxud3o5V3k3NjhyU09oblNTeU1IZmI3aEZ0MkJ6c0lSTlU9', 'https://hubdrive.art/file/10729509370']",7.9/10,https://www.youtube.com/embed/Z1dS-hHBxJY, 
"
            Aho Vikramaarka (2024) HDTS Hindi (LiNE) 1080p 720p & 480p [x264/HEVC] | Full Movie        ","['https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h12m44s691.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h14m35s975.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h13m49s140.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h15m06s250.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h16m07s234.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h16m26s335.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h17m40s353.jpg', 'https://catimages.org/images/2024/08/31/vlcsnap-2024-08-31-00h19m55s100.jpg']",https://hdhub4u.contact/aho-vikramaarka-2024-hindi-hdts-fulll-movie/,"['https://hubcdn.vip/file/RF4mdRWO8hGWiozP2BYr6VtCY', 'https://max.offerboom.top/?id=Ni9ZNk9MSTg3M3pKWDAxYmdyNWlDaW5ITXRtbDE3UGpYdGlNUVpVRHN2NWphRGxvSEVZT1BqZFdlNEJCZDZjZ0pJZHU0dWp1TmFRR2FOQXF2Z28wb2J3dVJ6bGxYODRvUWxVWDR2YjNEVFk9', 'https://hdhub4u.contact/go/?id=Ni9ZNk9MSTg3M3pKWDAxYmdyNWlDaW5ITXRtbDE3UGpYdGlNUVpVRHN2NWphRGxvSEVZT1BqZFdlNEJCZDZjZ2Vud3Z1UHEwMDNkTUZVWkxJTm92Z0pNLzcyVW1uWWV0VXRCb1U0VVBqbG89', 'https://hubdrive.art/file/5664022547']",x/10,https://www.youtube.com/embed/mw8dyLF6cY8, 
"
            Thangalaan (2024) HDTS Hindi (LiNE) 1080p 720p & 480p [x264/HEVC] | Full Movie        ","['https://catimages.org/images/2024/08/30/vlcsnap-2024-08-30-18h42m47s160.jpg', 'https://catimages.org/images/2024/08/30/vlcsnap-2024-08-30-18h43m29s502.jpg', 'https://catimages.org/images/2024/08/30/vlcsnap-2024-08-30-18h43m47s558.jpg', 'https://catimages.org/images/2024/08/30/vlcsnap-2024-08-30-18h44m19s761.jpg', 'https://catimages.org/images/2024/08/30/vlcsnap-2024-08-30-18h47m08s295.jpg', 'https://catimages.org/images/2024/08/30/vlcsnap-2024-08-30-18h47m26s135.jpg', 'https://catimages.org/images/2024/08/30/vlcsnap-2024-08-30-18h48m50s035.jpg', 'https://catimages.org/images/2024/08/30/vlcsnap-2024-08-30-18h49m11s290.jpg']",https://hdhub4u.contact/thangalaan-2024-hindi-hdts-full-movie/,"['https://max.offerboom.top/?id=TFEybXlBb21PQTZ2T1NnNHZwanRlK0V3eDZZTnN3c2tmR1dUTzA4VFhKU0NCbjB6N0gwcndkdEdGM3NwOUdBLy85elZvMEdONVc5VVJqVzlla1g2NUlnU2hWRno0ckoxWm1MNVBtbXB4a2s9', 'https://hdhub4u.contact/go/?id=TFEybXlBb21PQTZ2T1NnNHZwanRlK0V3eDZZTnN3c2tmR1dUTzA4VFhKU0NCbjB6N0gwcndkdEdGM3NwOUdBL3NRMklGMUxFTlBxT21RYkZTUnFGTzYrN0luZUhnYTVCMnVvR29ndVZrMXM9', 'https://max.offerboom.top/?id=TFEybXlBb21PQTZ2T1NnNHZwanRlK0V3eDZZTnN3c2tmR1dUTzA4VFhKU0NCbjB6N0gwcndkdEdGM3NwOUdBL0FOeDRMRTJSOUJ6SktRV3RCd1F4K2NwYTR0NGNnWDluQTJnN2o5ODdkRHc9', 'https://hdhub4u.contact/go/?id=TFEybXlBb21PQTZ2T1NnNHZwanRlK0V3eDZZTnN3c2tmR1dUTzA4VFhKU0NCbjB6N0gwcndkdEdGM3NwOUdBL3M5WjRRckNGWUdzVVhqVWRxMGdMenpUQ21LTCtoemMyN0hFR2ZQR2t2Mk09', 'https://hubdrive.art/file/6013523233']",7.4/10,https://www.youtube.com/embed/tnKhlp6NaVs, 
"
            Mirzapur (Season 3) WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/HEVC] HD | [PrimeVideo Series] BONUS Episode        ",[],https://hdhub4u.contact/mirzapur-season-3-hindi-webrip-all-episodes/,"['https://hubcdn.vip/file/hxulx5t3BciusVrhu5hxv3kQg', 'https://hdhub4u.contact/go/?id=aFl4SmhENGxrdDB3U1VsbEgzb3Y4OEZxUnJucGVsWDJxRjBjSlNnbWRrcnZoM1hZOElpU3pheGFYakI2cHpVaHg3VEVvRS85dVlJWWYrYlJGTXNpUVd1eWdYVEY3akJQTThWQXU4MzVKaTg9', 'https://hdhub4u.contact/go/?id=aFl4SmhENGxrdDB3U1VsbEgzb3Y4OEZxUnJucGVsWDJxRjBjSlNnbWRrcnZoM1hZOElpU3pheGFYakI2cHpVaEdVby9RS2I3SUZPVUVIZGIzd29rY2pWUjc4RmFiYmdOSkdzYTQxUmFUekU9']",N/A,https://www.youtube.com/embed/33o3s4Vs4Sw?si=bLwwWWxRRV9W4oQA,N/A
"
            Bad Newz (2024) WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/HEVC] | Full Movie        ","['https://catimages.org/images/2024/08/30/1fb55db6ce7422378.th.jpg', 'https://catimages.org/images/2024/08/30/2.th.jpg', 'https://catimages.org/images/2024/08/30/3.th.jpg', 'https://catimages.org/images/2024/08/30/4.th.jpg', 'https://catimages.org/images/2024/08/30/5.th.jpg', 'https://catimages.org/images/2024/08/30/6.th.jpg', 'https://catimages.org/images/2024/08/30/7.th.jpg', 'https://catimages.org/images/2024/08/30/8.th.jpg']",https://hdhub4u.contact/bad-newz-2024-hindi-webrip-full-movie/,"['https://hubcdn.vip/file/RRUaA3XKcPQPPq6KK5oTGAKEK', 'https://hdhub4u.contact/go/?id=UGhLREYvcklFNHRncnhndE5GU1RMTmxIRzZGWTVTd3hjK00rQkZnZHl4TlFkRnR6YVNldFNBcWlIWWdDaUNYR1Z0WFdDUGx6SUwvanVSbTFqZ1FOaXBTamFkZ3RSZ202N2FJL3psYkNPTVU9', 'https://max.offerboom.top/?id=UGhLREYvcklFNHRncnhndE5GU1RMTmxIRzZGWTVTd3hjK00rQkZnZHl4TlFkRnR6YVNldFNBcWlIWWdDaUNYR0Mvd0o0RERhc2tGNmRJRElnNnQ3VXl4U1ZNNzlrK0Y5bm1aRC80aWJpSUk9']",6.0/10,https://www.youtube.com/embed/uV50UfcIT68, Drama | Romance | Comedy
"
            The Lord of the Rings: The Rings of Power (Season 2) WEB-DL [Hindi (ORG 5.1) & English] 4K 1080p 720p & 480p [x264/10Bit-HEVC] | PrimeVideo Series [EP 01-03 Added]        ","['https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h43m46s342.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h43m59s931.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h44m04s791.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h44m25s631.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h46m07s991.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h47m25s391.th.jpg']",https://hdhub4u.contact/the-lord-of-the-rings-the-rings-of-power-season-2-hindi-webrip-all-episodes/,"['https://hdhub4u.contact/go/?id=TVRrdTI5UExGSmRlK1pGV00vZEdheVl1MWdtemtPT3R1RVN3UWdZMFRQNXFzMGhJdXlFMjdLeEpZNy9BbkRUM3UrYmVTdVhpVkxIOW5xdWZzb0ZBK0tVQkUwOFJxSmVHUFgwSThua2RtYjg9', 'https://hdstream4u.com/file/kplvw7ynji3c', 'https://max.offerboom.top/?id=TVRrdTI5UExGSmRlK1pGV00vZEdheVl1MWdtemtPT3R1RVN3UWdZMFRQNXFzMGhJdXlFMjdLeEpZNy9BbkRUM3YwYWlTZEtPdWVmdVc2YXErYW4rTHJNR1BrL2JUNTRTUm9YQkRpWW1oSVk9', 'https://hdstream4u.com/file/pwzai9nbbppk', 'https://max.offerboom.top/?id=TVRrdTI5UExGSmRlK1pGV00vZEdheVl1MWdtemtPT3R1RVN3UWdZMFRQNXFzMGhJdXlFMjdLeEpZNy9BbkRUMzlsckdkT0NxY1E3eldpVFc1akZwRjMrMUJHdXBsd2pvbzMydmZSam1KS1E9', 'https://hdstream4u.com/file/xi2unu8fc0kc']",7.3/10,N/A, 
"
            iC 814: The Kandahar Hijack (Season 1) WEB-DL [Hindi DD5.1] 1080p 720p & 480p [x264/HEVC] HD | ALL Episodes [NF Series]        ","['https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h03m07s731.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h03m34s531.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h04m41s556.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h04m57s564.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h06m03s608.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-12h59m59s193.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-17h32m45s703.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-13h01m10s505.th.jpg']",https://hdhub4u.contact/ic-814-the-kandahar-hijack-season-1-hindi-webrip-all-episodes/,"['https://max.offerboom.top/?id=UGhLREYvcklFNHRncnhndE5GU1RMTmxIRzZGWTVTd3hjK00rQkZnZHl4TlFkRnR6YVNldFNBcWlIWWdDaUNYR083ZE9UclQ4U1NIV2RLUldUYUdLZHBuWk9jTlBFc0FYL1pSbHlLNGVYREk9', 'https://max.offerboom.top/?id=UGhLREYvcklFNHRncnhndE5GU1RMTmxIRzZGWTVTd3hjK00rQkZnZHl4TlFkRnR6YVNldFNBcWlIWWdDaUNYR3R4NklHS0U5VURUOSswZnFvdE9COFhLS2VhWDdiOXdoK0E1eTlwQUtBcEE9', 'https://hdhub4u.contact/go/?id=UGhLREYvcklFNHRncnhndE5GU1RMTmxIRzZGWTVTd3hjK00rQkZnZHl4TlFkRnR6YVNldFNBcWlIWWdDaUNYRzFQTjUwWkR2ZHJ3bVpEVGhLdGVwbU01RVlRS29jeUUzcTYwWTJqMHQ0WFk9', 'https://hdhub4u.contact/go/?id=UGhLREYvcklFNHRncnhndE5GU1RMTmxIRzZGWTVTd3hjK00rQkZnZHl4TlFkRnR6YVNldFNBcWlIWWdDaUNYR3NmWEJxV1c1anQydzMwWmNuUGM1TWt2U1BvYzJrZk1kbnlJVEJsN0JWS0E9']",x/10,https://www.youtube.com/embed/5Dmr5rktfGY, 
"
            Holly Slept Over (2020) WEB-DL [Hindi (ORG 5.1) & English] 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie        ","['https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-01h41m54s389.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-01h42m11s697.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-01h42m20s637.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-01h42m40s870.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-01h42m47s483.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-01h43m31s673.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-01h44m03s330.th.jpg', 'https://catimages.org/images/2024/08/29/vlcsnap-2024-08-29-01h44m08s375.th.jpg']",https://hdhub4u.contact/holly-slept-over-2020-hindi-webrip-full-movie/,"['https://hubcdn.vip/file/pAxjCyzLimE9hatEbV8ZrUC8n', 'https://hdhub4u.contact/go/?id=M0NMQ0hsaTEzeFNUQW1lVFNrUEg0MSsxdFVXTjdZdXN2dGgvaUUwdWdkRHZJeWdJTFNmM0U2ZVJmNlkwZmVvWlhZUHNMVWhhVVhKdE50T3JDa3RodzUwMFhiV3ZXd1pqMlNGeGtkQnhEUzg9', 'https://max.offerboom.top/?id=M0NMQ0hsaTEzeFNUQW1lVFNrUEg0MSsxdFVXTjdZdXN2dGgvaUUwdWdkRHZJeWdJTFNmM0U2ZVJmNlkwZmVvWlNIUmhCNS9pOWh5ekNxU0xYMkVaY1BPd3hzWVJMUWQ2RmF5Z1ZaeG9DQms9']",5.8/10,https://www.youtube.com/embed/nwbpMcRSIN4, Comedy 
"
            Tumbbad (2018) WEB-DL [Hindi DD5.1] 1080p 720p & 480p [x264/10Bit-HEVC] | Full Movie        ","['https://catimages.org/images/2024/08/28/vlcsnap-2024-08-28-08h07m54s334.th.jpg', 'https://catimages.org/images/2024/08/28/vlcsnap-2024-08-28-07h57m38s315.th.jpg', 'https://catimages.org/images/2024/08/28/vlcsnap-2024-08-28-07h59m16s639.th.jpg', 'https://catimages.org/images/2024/08/28/vlcsnap-2024-08-28-08h03m48s959.th.jpg', 'https://catimages.org/images/2024/08/28/vlcsnap-2024-08-28-08h04m44s429.th.jpg', 'https://catimages.org/images/2024/08/28/vlcsnap-2024-08-28-08h06m49s999.th.jpg', 'https://catimages.org/images/2024/08/28/vlcsnap-2024-08-28-08h09m00s709.th.jpg', 'https://catimages.org/images/2024/08/28/vlcsnap-2024-08-28-08h10m00s306.th.jpg']",https://hdhub4u.contact/tumbbad-2018-hindi-webrip-full-movie/,"['https://hubcdn.vip/file/FOwZSIx2tjtUnvhChFekUO1ia', 'https://max.offerboom.top/?id=TXgraE5zd3JWQVNCTlVQNFRHZlByT1JVcVZ1cVcvVDJSSG1PVXFVYkdvd3M0dCszR1NNTmtWMlRxbzUxQlhhTzVTQUpmNHVTYkNDdW53eUlpRk5TYnp0dnV5Z2Zlcjk1emVZZUh2Nm9nS289', 'https://hdhub4u.contact/go/?id=TXgraE5zd3JWQVNCTlVQNFRHZlByT1JVcVZ1cVcvVDJSSG1PVXFVYkdvd3M0dCszR1NNTmtWMlRxbzUxQlhhT2I5ZlQzZmxKVGo1NUFIazR1bUJCclFRaFZZVjlnM2ZVMm9oRC83b3VvUzg9']",8.2/10,https://www.youtube.com/embed/ZjuhALyNgss, Fantasy | Horror | Thriller
