Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-01,Uttar_Pradesh,Onion Big,27,31 - 34,32 - 45,1kg,N/A
2024-05-01,Uttar_Pradesh,Onion Small,32,37 - 41,38 - 53,1kg,N/A
2024-05-01,Uttar_Pradesh,Tomato,27,31 - 34,32 - 45,1kg,N/A
2024-05-01,Uttar_Pradesh,Green Chilli,44,51 - 56,53 - 73,1kg,N/A
2024-05-01,Uttar_Pradesh,Beetroot,38,44 - 48,46 - 63,1kg,N/A
2024-05-01,Uttar_Pradesh,Potato,28,32 - 36,34 - 46,1kg,N/A
2024-05-01,Uttar_Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-01,Uttar_Pradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-01,Uttar_Pradesh,Amla,75,86 - 95,90 - 124,1kg,N/A
2024-05-01,Uttar_Pradesh,Ash gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-01,Uttar_Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,N/A
2024-05-01,Uttar_Pradesh,Banana Flower,20,23 - 25,24 - 33,1kg,N/A
2024-05-01,Uttar_Pradesh,Capsicum,48,55 - 61,58 - 79,1kg,N/A
2024-05-01,Uttar_Pradesh,Bitter Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-01,Uttar_Pradesh,Bottle Gourd,26,30 - 33,31 - 43,1kg,N/A
2024-05-01,Uttar_Pradesh,Butter Beans,50,58 - 64,60 - 83,1kg,N/A
2024-05-01,Uttar_Pradesh,Broad Beans,28,32 - 36,34 - 46,1kg,N/A
2024-05-01,Uttar_Pradesh,Cabbage,22,25 - 28,26 - 36,1kg,N/A
2024-05-01,Uttar_Pradesh,Carrot,45,52 - 57,54 - 74,1kg,N/A
2024-05-01,Uttar_Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-01,Uttar_Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,N/A
2024-05-01,Uttar_Pradesh,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-01,Uttar_Pradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-01,Uttar_Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,N/A
2024-05-01,Uttar_Pradesh,Coriander Leaves,8,9 - 10,10 - 13,1kg,N/A
2024-05-01,Uttar_Pradesh,Corn,26,30 - 33,31 - 43,1kg,N/A
2024-05-01,Uttar_Pradesh,Cucumber,28,32 - 36,34 - 46,1kg,N/A
2024-05-01,Uttar_Pradesh,Curry Leaves,25,29 - 32,30 - 41,1kg,N/A
2024-05-01,Uttar_Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-01,Uttar_Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,N/A
2024-05-01,Uttar_Pradesh,Brinjal,22,25 - 28,26 - 36,1kg,N/A
2024-05-01,Uttar_Pradesh,Brinjal (Big),24,28 - 30,29 - 40,1kg,N/A
2024-05-01,Uttar_Pradesh,Elephant Yam,29,33 - 37,35 - 48,1kg,N/A
2024-05-01,Uttar_Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-01,Uttar_Pradesh,French Beans,49,56 - 62,59 - 81,1kg,N/A
2024-05-01,Uttar_Pradesh,Garlic,152,175 - 193,182 - 251,1kg,N/A
2024-05-01,Uttar_Pradesh,Ginger,114,131 - 145,137 - 188,1kg,N/A
2024-05-01,Uttar_Pradesh,Onion Green,46,53 - 58,55 - 76,1kg,N/A
2024-05-01,Uttar_Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,N/A
2024-05-01,Uttar_Pradesh,Ivy Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-01,Uttar_Pradesh,Lemon (Lime),75,86 - 95,90 - 124,1kg,N/A
2024-05-01,Uttar_Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,N/A
